ID_COMPRA,ID_PROVEEDOR,NO_PRODUCTOS,COSTO_TOTAL_PEDIDO
8918825329,32,486,5256.8
5427779668,35,514,5518.87
5661925964,39,939,6760.46
2095815500,21,87,3705.79
3503423987,20,76,8909.01
6117989366,20,504,7566.51
101466557,39,763,5620.42
8495566542,25,48,8683.99
1875837656,29,331,7688.73
2633816441,32,364,6943.41
9585211271,17,972,215.98
4851525012,9,568,4745.63
245033810,28,751,9244.59
3027270511,32,26,6959.97
9558271495,32,297,5325.43
9469183295,19,145,1462.06
8446432686,35,561,9873.89
1913871867,29,276,9454.6
8456356932,14,119,4628.54
8593066344,21,840,4161.45
1952090941,7,824,1977.75
4187924945,12,758,7017.85
4255689944,26,573,8357.06
8560689712,21,361,6714.99
7674816916,21,509,3743.15
9256273763,14,505,2154.01
718634349,35,101,9533.64
7804434342,30,589,5296.81
3257751208,8,994,8374.31
8091369987,18,411,8761.91
5661922544,16,829,3799.74
438183334,26,903,795.4
6282836761,17,334,3057.43
5523767073,21,678,8869.27
50898070,12,862,9228.6
579867823,21,633,9335.56
3464920249,27,805,6208.54
4881290475,7,397,5443.1
7629639778,3,773,8356.81
6364420745,26,917,4867.96
4158460269,16,954,4338.31
7713616816,21,894,4378.04
1099943705,3,228,1958.24
7317707,7,413,5539.23
2406751615,39,636,7379.02
827615794,21,71,1875.91
8130641661,28,80,5362.58
7996477717,30,452,7020.19
9973017532,14,581,4345.67
1742276861,30,153,9330.02
3390929973,38,998,5047.99
6278379553,20,469,8306.12
4412196922,15,393,376.84
8578062590,17,650,6152.96
756355837,39,508,8768.69
6489379374,31,718,4269.26
1005448075,14,882,3572.08
3388732384,7,994,3807.82
8674879583,8,849,2851.26
72539630,24,916,7676.48
5518683401,35,761,5772.09
6995562679,39,769,5142.32
2885014630,9,704,7169.83
5325546099,8,149,9459.73
3619360644,20,470,5788.75
866449098,21,93,8593.53
4034076115,20,764,7693.59
25488792,12,123,4073.48
5297743601,26,107,860.56
1106337773,10,983,5251.18
9007504490,30,220,831.51
5843882583,9,214,2714.81
2437549265,39,558,4428.36
6112887474,35,816,3174.16
9536346162,39,327,4941.11
7764514753,7,817,5253.75
4496475141,35,266,5968.14
7100631478,2,996,9293.56
6667098122,12,41,5592.26
321067189,15,981,1009.91
4832332447,24,731,605.3
1756942797,39,226,7694.97
21575461,24,164,5757.57
2527778251,30,214,2700.47
8260687063,14,61,9480.7
6922320542,31,181,9477.75
5741192384,18,265,6355.85
1023594617,10,107,1455.97
3857274477,12,862,6026.94
8969914571,13,154,1808.17
5803862425,4,811,3482.7
2804597813,26,70,1072.22
9811359640,21,12,3912.15
9322000433,12,316,9467.44
9889174519,32,553,7506.46
7107909572,17,298,4959.48
1394209489,10,679,9293.99
7390642262,19,502,3361.64
422290088,28,451,8761.07
98993520,14,732,447.71
2072120683,12,497,807.34
2920184466,30,248,1564.15
7269053794,3,314,3694.75
8590065630,14,215,244.65
6718116596,14,365,1577.65
294375960,19,309,8350.82
9087213840,26,40,6271.79
7773509902,23,898,4980.96
8159478560,39,809,2381.62
4586636457,14,959,7612.01
6011840296,10,345,7918.35
2006417731,12,421,1066.25
3432054459,32,431,6454.15
180367387,27,621,7579.27
3487550564,15,886,9439.84
6402731088,29,256,6763.43
108932748,21,932,2420.35
2622026402,7,452,5904.91
5237502798,32,724,1816.19
920587366,7,298,7950.33
8236654733,18,179,5146.13
6261065648,30,362,6671.77
6194605963,10,526,6682.77
3932823302,16,255,4253.02
567987047,39,204,8777.43
5467856230,14,119,3994.69
834156899,21,584,1667.3
3336774723,19,337,3592.32
2643473422,29,4,8559.26
6959067204,21,199,686.35
6869684888,30,161,5327.01
1362983622,10,525,8742.46
4012655104,12,583,3902.23
8453514169,29,157,9671.21
3266911830,6,276,5069.39
5259491267,25,496,9854.65
7957583846,39,215,7159.9
6780665209,21,152,5909.97
7022492940,30,223,4876.02
2053016195,26,482,4394.46
3807810768,18,69,9361.29
1631628833,7,508,5716.0
7425254594,30,848,9761.88
7148014649,8,496,9242.37
6898460829,16,936,2447.94
8363645389,26,431,1226.99
3675394777,17,785,5223.82
4802494855,9,512,5673.69
2666487143,2,26,7554.13
855684947,9,96,3251.7
3726562643,32,902,3265.04
9611743922,36,136,9603.77
5351804533,10,70,4668.38
8712991913,3,364,2386.78
9698861285,14,685,4388.69
9704724445,30,606,6616.19
2832747713,12,618,6459.22
8016680357,27,246,6922.39
4170768019,30,47,6077.17
8773946297,4,940,466.26
7062264048,39,688,590.16
7439467568,39,354,2270.54
6348147242,21,658,5563.34
510168593,10,558,586.92
1172888208,14,112,3870.09
613775184,27,540,1083.95
9433950146,21,244,1820.98
1676714399,9,453,6000.72
4217939384,13,931,5640.56
32365959,8,981,9737.64
9234382253,39,616,1294.62
678011887,14,866,5596.88
30694580,17,771,6457.55
5373336761,30,873,3017.78
4115301683,23,354,5505.19
5953089858,4,319,6694.93
3196845109,14,755,4201.66
981950416,21,634,1878.18
1929985890,32,579,9967.91
5156127706,38,989,3359.57
1632801054,8,511,4638.62
3190125153,31,196,4443.9
1225687425,35,347,653.64
4344738500,12,382,8996.94
2017292147,38,342,2240.19
1296323035,26,248,2186.82
3478661795,8,358,3325.23
6405299281,32,704,4369.35
1157681117,11,748,1811.08
4343025393,17,725,7375.06
4680967140,21,630,2343.42
4716778888,7,273,4329.32
6782905025,17,671,9592.86
9571937157,10,683,1690.51
7073911861,27,58,2930.55
8499196290,32,960,5495.83
9423696579,14,452,7260.71
1218794201,15,255,2564.48
3092960719,35,909,357.54
4642220077,19,100,3286.43
1606380560,17,312,7252.54
7625061679,26,355,6496.82
1964011137,9,113,3005.77
555709318,9,7,2976.71
3793070921,39,576,6829.75
1322810414,9,917,621.4
2282822200,12,302,5034.98
7153666181,3,888,8549.46
7892385355,27,253,8157.21
6776277926,4,137,9167.16
4015580026,26,543,7972.56
2170586646,14,15,2065.56
5366528734,13,273,2752.01
620808031,28,585,6378.23
7567798087,14,626,972.77
7382004032,7,368,153.73
6254122099,2,416,7525.24
9467946988,12,516,1559.82
9684624243,32,5,1182.31
290659696,9,323,4204.13
9403227519,30,265,5585.38
7634613094,30,375,2325.27
2506333615,32,608,8846.94
7709559416,21,442,5609.23
5465517157,14,679,2185.17
57777081,10,183,3507.7
7606835251,10,125,849.09
5648241044,21,702,5210.53
9836498402,35,843,4423.75
9160142220,12,922,2730.35
8454020777,2,421,265.4
3021247716,28,700,1192.37
8190841031,10,313,9369.83
213601987,14,427,7436.81
9781005878,7,252,998.13
453843134,26,795,5599.47
4877970524,29,406,4747.21
1197135548,11,612,9017.29
6469092113,35,925,6521.67
661512252,31,450,3870.23
5195886416,10,536,3067.16
7314807768,28,238,8297.25
4612344355,12,710,5307.8
2301744321,30,964,3982.61
4669287744,27,319,1932.35
6825475857,14,159,2219.78
5069792338,27,91,638.86
2234835538,17,687,7044.61
2308194632,4,956,3805.77
8461827549,21,975,910.03
699854461,20,777,1495.27
948129120,21,639,4879.09
7134293400,21,70,672.63
4372791021,37,87,1557.35
4895756640,23,872,2974.93
2449299063,30,528,5201.11
6096804274,17,786,3760.18
6996405651,30,167,517.19
2984876767,23,404,1889.76
9644971143,9,981,3484.23
9769000993,26,389,9479.41
3474035933,30,204,6358.14
9592633603,3,196,895.66
756106436,21,967,3751.58
8997462768,17,651,2377.16
5843659740,9,315,8634.08
2232351878,39,933,8669.45
8843323301,21,34,6377.9
4389012902,23,703,3473.28
9836041058,38,839,4176.29
7019221775,16,721,1624.72
8413231686,29,501,619.62
1769516411,30,649,2802.8
3403419992,11,884,896.95
6239961519,31,847,370.76
1997363603,32,74,6891.39
4078513731,2,575,8144.35
3206838692,31,437,8311.27
9101436558,26,467,968.4
6161562568,23,157,8849.3
7880356863,30,985,3249.19
2622375004,11,28,1279.64
8170877736,35,738,2164.11
7442098875,16,860,3709.39
7055160779,38,158,5314.2
2311096650,17,883,6894.64
4450179155,32,406,4572.03
9895915431,2,287,4595.39
6858779295,14,973,6456.92
6260665937,20,643,848.71
3772329979,23,379,3635.92
7236555344,7,1,3748.56
3968495012,10,60,6779.52
1916693898,9,396,4592.25
1765631794,12,834,8327.6
2149246264,27,723,4393.74
7013255885,14,121,2045.78
8485887948,2,10,3652.23
7285194256,9,774,6603.91
7910039320,39,298,5361.13
7606435754,37,638,5676.71
1894215344,14,722,5636.26
7178565299,20,857,9875.77
4227703406,9,371,850.11
5953752860,14,840,436.13
4022938125,9,184,5443.03
3261024645,9,67,3787.85
9349431903,39,561,1364.57
9720110022,14,950,4185.14
1809498808,30,587,9989.65
1423356343,3,60,5635.28
7824276278,28,661,2781.08
7622458248,14,263,7020.96
4647006588,21,150,3201.01
7074123526,39,616,2171.48
8819601365,7,939,6871.15
1819764368,16,988,3208.52
9812497476,9,852,9592.21
2162846668,7,611,6824.06
9158383000,21,598,8317.7
3537598973,17,419,1727.32
1525452873,14,355,8571.35
2448870393,12,794,8860.48
8472172948,7,515,3572.14
450081685,10,893,9636.88
2706196834,37,119,2125.21
3648837542,26,914,5749.41
4504809364,12,639,9792.58
4388337870,19,373,8076.7
4101428445,12,366,3286.39
2305257430,10,467,7722.72
2341105107,38,531,4076.05
5145587706,30,805,9277.39
6354788729,32,620,8043.5
4267550000,32,329,8780.57
928939801,39,583,1348.47
7105123195,26,765,3427.51
7890776714,10,653,8381.85
2490908421,8,746,2399.89
836519913,20,619,5003.04
4819207158,27,53,2991.95
731712789,38,218,8319.69
6061447365,18,320,4293.01
4477867837,23,573,3514.38
1380304031,36,235,2650.6
86233703,21,54,9836.94
2573618469,36,98,2872.18
748169131,39,677,4144.92
8991880204,25,883,7381.7
4373998901,8,979,7495.38
7658414996,13,221,4660.84
2512223602,14,420,7530.25
2319516345,26,737,9703.71
6865035431,21,781,9300.75
8290246430,30,421,1727.71
1082057430,10,351,9792.37
1068682285,28,202,962.81
2199508992,30,940,4877.8
7618321202,14,644,2778.45
2141291525,7,741,303.34
6834540337,12,709,2386.35
2072682649,3,388,4169.13
1359414593,9,531,9181.12
6105882236,30,168,9384.1
2634954440,10,204,3845.14
6318817708,20,488,2717.56
6128022375,2,362,2052.18
7800455045,8,223,6424.42
7747026957,11,453,5879.5
399610235,32,771,263.53
3456294536,23,266,1451.56
4109051588,30,980,5298.83
3127399654,10,534,4325.76
7344312656,13,684,4174.69
4051788576,14,346,3777.28
309304292,38,353,7071.52
7206203842,21,450,8336.41
2772286047,31,345,975.35
8107088725,27,74,6442.2
7684604940,27,851,3513.37
