Tópico de Búsqueda,Video ID,Title,Published At,Duration (min),Views,Likes,Comments,Tags,Description,Channel Title,
UPY,L_0K_jaMNaA,Profil Upy 2025 - English Version,2025-04-29,5.15,90,4,0,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy","Universitas PGRI Yogyakarta or known as UPY is an educational institution that was established on December 11, 1962. UPY VISION In 2043, UPY will become a superior university, producing graduates who are pious, professional, innovative, have a national commitment, and have a global perspective. UPY MISSION Developing effective, efficient, democratic, transparent, and accountable institutional governance to create a healthy, autonomous, and highly competitive organization. Optimizing the utilizat...",Upytv,
UPY,bIoTXPmqeGc,Kampus Upy,2015-12-15,4.2,2030,34,0,,"Kampus Universitas PGRI Yogyakarta Jalan PGRI 1 Sonosewu No. 117 Yogyakarta 55182 Telp (0274) 376808, 418077 Fax. (0274) 376808 email : pmb@upy.ac.id ""Video by Eko Setiawan""",Pmb Upy,
UPY,yp1ec6p92ZA,Profil Upy 2025 - Indonesia Version,2025-04-29,5.15,182,14,0,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy","Universitas PGRI Yogyakarta atau yang dikenal dengan UPY merupakan Institusi Pendidikan yang berdiri pada tanggal 11 Desember 1962. VISI UPY Pada tahun 2043 UPY menjadi perguruan tinggi unggul, menghasilkan lulusan yang bertaqwa, profesional, inovatif, memiliki komitmen nasional, dan berwawasan global. MISI UPY Mengembangkan tata kelola kelembagaan yang efektif, efisien, demokratis, transparan, dan akuntabel untuk mewujudkan organisasi yang sehat, otonom, dan mempunyai daya saing yangtinggi. Men...",Upytv,
UPY,IZBQ5GN7qyw,Mars Upy (Universitas Pgri Yogyakarta),2020-11-08,1.88,10168,139,0,,,Sepotong Senja,
UPY,0Nbq_awI83Y,Elcir 2017 At The Upy,2018-04-24,7.52,521,12,0,"upy, universidad, politecnica, yucatan, bis, international, computational, robotics, embedded systems, big data, iot, tecnologia, disruptiva, bilingue, internacional, sustentable, ingenieria, datos, sistemas, embebidos, robotica, computacional, tamu, elcir, texas, a&m","The Engineering Learning Community Introduction to Research start with an orientation and training workshop at the Universidad Politécnica de Yucatan, where students from TAMU and UPY will take a class on introduction to research trying to define a research problem related to the local enviroment. After the workshop in Yucatan students will join an online learning community, in binational groups, and write a research proposal on the research problem identified while in Yucatan. The last activity...",UpyucatáN,
UPY,UfjC8t9SNio,Profil Prodi Sejarah Upy,2025-05-06,9.55,114,12,1,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, sansed, sansed upy",Program Studi Pendidikan Sejarah Fakultas Keguruan dan Ilmu Pendidikan (FKIP) Universitas PGRI Yogyakarta (UPY) berdiri pada tanggal 11 Desember 1962 bersamaan dengan berdirinya IKIP PGRI Yogyakarta berdasarkan Surat Keterangan Terdaftar Depatermen Perguruan Tinggi dan Ilmu Pengetahuan Jakarta Nomor 44/B/Swt/P/62. Penyelenggaraan kuliah perdana dilaksanakan di gedung SGA Stelladuce Yogyakarta yang berada di kompleks Lapangan Trenggono Jalan Dr. Sutomo Yogyakarta. Pada tahun 1964 penyelenggaraan ...,Upytv,
UPY,BeAQuCd-Aew,Upincase Day 1 : 3rd Upy International Conference 2021,2021-07-14,227.87,585,28,0,"upy, upy jogja, kkn, kuliah kerja nyata, universitas pgri yogyakarta, mahasiswa, kegiatan, upy official, diesnatalisupy, dies58",3rd UPY INTERNATIONAL CONFERENCE 2021,Upytv,
UPY,WkNy_BfiNS8,Upy: Enfoca Sus Carreras TecnolóGicas Con Laboratorios De úLtimo Nivel,2025-03-26,9.7,30,2,0,"tele formula, yucatán, noticias, noticiero, mérida, radioformula, radio formula yucatan, radio",Aaron Rosado Castillo. Rector. Universidad Politécnica de Yucatán. #TeleFórmulaDigital Yucatán. #AbriendoLaConversación.,Radio FóRmula YucatáN,
UPY,AFfA7oK-UPY,| Como Posso Descrever Isso? | Bendy And Ink Machine | Roblox |,2025-05-12,20.8,4,0,0,,,Temps,
UPY,hh-yaAg7A5Y,Convocatoria Upy Ciclo 2025-2026,2025-03-06,8.93,37,0,1,,Te compartimos la convocatoria de la UPY para el ciclo 2024-2025,Aciex MéRida,
