county_name,state_code,fips_code,election_year,total_population,median_age,median_household_income,pct_bachelors_or_higher,total_registered_voters,total_ballots_cast,democrat_votes,republican_votes,other_votes,pct_white,pct_black,pct_hispanic,pct_asian,calculated_total_votes,total_pct_race,total_votes_calculated,flag_votes_exceed_ballots,flag_ballots_exceed_voters,flag_voters_exceed_population,turnout_rate,registration_rate,pct_democrat,pct_republican,pct_other,vote_margin,winning_party
Atlanta,GEORGIA,1,2010,7767889,43.0,50385,30.99,2453532,4143788,1268863,3411491,59819,15.03,20.74,40.57,14.24,4740173,90.58,4740173,True,True,False,150.0,31.585569773203503,26.768284617460164,71.96975722194105,1.2619581605987797,2142628,Republican
Flint,MICHIGAN,2,2010,8229997,22.7,102777,42.81,2724408,3531506,448469,2272741,15257,48.17,23.56,82.3,36.29,2736467,190.32,2736467,False,True,False,129.6247111299042,33.10338995263303,16.388613493237813,83.0538427834138,0.5575437233483905,1824272,Republican
Norfolk,VIRGINIA,3,1991,639164,47.5,29737,77.87,3048455,5966182,839098,2718022,49995,11.96,14.05,1.89,41.04,3607115,68.94,3607115,False,True,True,150.0,100.0,23.262302421741474,75.35168687441349,1.3860107038450395,1878924,Republican
Salt Lake City,UTAH,4,1984,2868470,68.5,44024,52.62,264806,7488187,2684618,1449602,76225,77.77,22.36,43.51,6.16,4210445,149.79999999999998,4210445,False,True,False,150.0,9.23161127709197,63.76090888255279,34.42871240450831,1.8103787129388937,1235016,Democrat
Anniston,ALABAMA,5,2013,1570096,32.5,105090,47.82,6279303,3615770,3527378,859950,81185,42.71,76.59,20.81,7.95,4468513,148.06,4468513,True,False,True,57.58234632092128,100.0,78.93851936874749,19.244657003347644,1.8168236279048535,2667428,Democrat
Bakersfield,CALIFORNIA,6,2011,5680776,71.7,32791,14.46,5129988,3838428,2713411,1852590,50862,30.23,16.01,71.38,35.54,4616863,153.16,4616863,True,False,False,74.82333292007701,90.30435278560535,58.77174609686274,40.12659678227403,1.1016571208632355,860821,Democrat
San Diego,CALIFORNIA,7,1978,7910479,54.3,123697,12.69,4581572,3824008,2036320,3918866,57784,77.27,82.23,39.47,44.58,6012970,243.55,6012970,True,False,False,83.46497664993588,57.91775693987684,33.865460828841655,65.17354984308919,0.9609893280691572,1882546,Republican
Augusta,GEORGIA,8,2011,9440795,38.9,57782,47.93,448434,4613041,2193793,1816058,97988,58.59,30.35,2.64,23.79,4107839,115.37,4107839,False,True,False,150.0,4.749960146364792,53.40503851295048,44.2095710177541,2.385390469295413,377735,Democrat
Washington,DISTRICT OF COLUMBIA,9,1999,8070080,58.8,160422,51.07,3201832,2762454,1290387,165525,67258,40.96,32.63,77.74,43.39,1523170,194.71999999999997,1523170,False,False,False,86.2772937493285,39.675343986676715,84.71720162555722,10.86713892736858,4.415659447074194,1124862,Democrat
Fresno,CALIFORNIA,10,2011,3852484,45.9,116466,77.03,4909042,5574529,3612360,719578,78390,50.86,33.64,4.93,28.68,4410328,118.11000000000001,4410328,False,True,True,113.55635172809684,100.0,81.90683323326519,16.315747944370575,1.7774188223642322,2892782,Democrat
