Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content,Item_Type,Item_Category_Broad,Sales_Per_Store,Price_Per_Unit_Weight,Item_Fat_Content_encoded,Item_Type_encoded,Item_Category_Broad_encoded
DRA12,11061.601200000001,1843.6002,6,141.8654,0.047934265499999996,11.6,Low Fat,Soft Drinks,Drink,1843.6002,12.229775862068966,0,14,0
DRA24,15723.5328,2246.2189714285714,7,164.0868,0.04806226414285714,19.35,Regular,Soft Drinks,Drink,2246.2189714285714,8.479937984496123,2,14,0
DRA59,20915.4412,2614.43015,8,185.1799,0.15396344842857143,8.27,Regular,Soft Drinks,Drink,2614.43015,22.391765417170497,2,14,0
DRB01,4554.072,1518.0240000000001,3,189.58633333333333,0.08212644233333333,7.39,Low Fat,Soft Drinks,Drink,1518.0240000000001,25.654442940911142,0,14,0
DRB13,12144.192,2428.8383999999996,5,189.69299999999998,0.0080023486,6.115,Regular,Soft Drinks,Drink,2428.8383999999996,31.02093213409648,2,14,0
DRB24,12202.7824,3050.6956,4,154.4656,0.020623782,8.785,Low Fat,Soft Drinks,Drink,3050.6956,17.582879908935684,0,14,0
DRB25,9969.0234,1661.5039,6,106.8938,0.07730474816666667,12.300000000000002,Low Fat,Soft Drinks,Drink,1661.5039,8.690552845528453,0,14,0
DRB48,4360.3242,622.9034571428572,7,39.25362857142857,0.027650095000000003,16.75,Regular,Soft Drinks,Drink,622.9034571428572,2.3435002132196163,2,14,0
DRC01,5173.2660000000005,862.2110000000001,6,48.9692,0.019219470166666665,5.919999999999999,Regular,Soft Drinks,Drink,862.2110000000001,8.271824324324326,2,14,0
DRC12,8949.6836,2237.4209,4,190.2188,0.03789327825,17.85,Low Fat,Soft Drinks,Drink,2237.4209,10.656515406162464,0,14,0
DRC13,6528.169,1632.04225,4,124.298,0.03254474533333333,8.26,Regular,Soft Drinks,Drink,1632.04225,15.04818401937046,2,14,0
DRC24,6305.7918,3152.8959,2,153.34980000000002,0.024942033500000002,17.85,Low Fat,Soft Drinks,Drink,3152.8959,8.591025210084034,0,14,0
DRC25,7901.7144,1128.816342857143,7,86.23105714285714,0.05618499183333333,5.7299999999999995,Low Fat,Soft Drinks,Drink,1128.816342857143,15.049050112191473,0,14,0
DRC27,16460.5734,2743.4289000000003,6,245.89686666666668,0.06475441333333333,13.800000000000002,Low Fat,Dairy,Drink,2743.4289000000003,17.818613526570047,0,4,0
DRC36,15059.064400000001,3011.8128800000004,5,174.5254,0.044991899749999995,13.0,Regular,Soft Drinks,Drink,3011.8128800000004,13.42503076923077,2,14,0
DRC49,8484.9552,2828.3184,3,144.8128,0.06532683,8.67,Low Fat,Soft Drinks,Drink,2828.3184,16.702745098039216,0,14,0
DRD01,4255.1278,851.02556,5,55.7414,0.0613361044,12.1,Regular,Soft Drinks,Drink,851.02556,4.606727272727273,2,14,0
DRD12,11036.9666,1576.7095142857142,7,91.40031428571429,0.07733169583333334,6.96,Low Fat,Soft Drinks,Drink,1576.7095142857142,13.132229064039409,0,14,0
DRD13,8628.768,1232.681142857143,7,64.45965714285714,0.04913169057142857,15.0,Low Fat,Soft Drinks,Drink,1232.681142857143,4.297310476190476,0,14,0
DRD15,17659.6792,2522.811314285714,7,232.8642,0.06837602242857142,10.6,Low Fat,Dairy,Drink,2522.811314285714,21.968320754716984,0,4,0
DRD24,13756.0938,1965.1562571428572,7,142.04397142857144,0.03378398957142857,13.85,Low Fat,Soft Drinks,Drink,1965.1562571428572,10.255882413615266,0,14,0
DRD25,13921.878,1740.23475,8,113.086,0.09507435042857143,6.135,Low Fat,Soft Drinks,Drink,1740.23475,18.432925835370824,0,14,0
DRD27,6349.0688,1269.81376,5,98.0442,0.028353114999999995,18.75,Low Fat,Dairy,Drink,1269.81376,5.229024,0,4,0
DRD37,6245.204,892.1719999999999,7,46.00600000000001,0.015198772285714287,9.8,Low Fat,Soft Drinks,Drink,892.1719999999999,4.694489795918368,0,14,0
DRD49,14539.740399999999,3634.9350999999997,4,237.8814,0.168145552,9.895,Low Fat,Soft Drinks,Drink,3634.9350999999997,24.04056594239515,0,14,0
DRD60,15631.652399999999,2605.2754,6,181.84673333333333,0.04192011666666667,15.699999999999998,Low Fat,Soft Drinks,Drink,2605.2754,11.582594479830151,0,14,0
DRE01,5816.4288,2908.2144,2,241.8012,0.223469365,10.1,Low Fat,Soft Drinks,Drink,2908.2144,23.94071287128713,0,14,0
DRE03,4538.0928,648.2989714285715,7,46.68608571428571,0.026604318,19.6,Low Fat,Dairy,Drink,648.2989714285715,2.3819431486880465,0,4,0
DRE12,9281.252,1546.8753333333334,6,112.60266666666666,0.070719558,4.59,Low Fat,Soft Drinks,Drink,1546.8753333333334,24.532171387073348,0,14,0
