Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content,Broad_Category,Item_Type
DRA12,11061.601200000001,1843.6002,6,141.8654,0.047934265499999996,11.6,Low Fat,Drinks,Soft Drinks
DRA24,15723.5328,2246.2189714285714,7,164.0868,0.04806226414285714,19.35,Regular,Drinks,Soft Drinks
DRA59,20915.4412,2614.43015,8,185.1799,0.15396344842857143,8.27,Regular,Drinks,Soft Drinks
DRB01,4554.072,1518.0240000000001,3,189.58633333333333,0.08212644233333333,7.39,Low Fat,Drinks,Soft Drinks
DRB13,12144.192,2428.8383999999996,5,189.69299999999998,0.0080023486,6.115,Regular,Drinks,Soft Drinks
DRB24,12202.7824,3050.6956,4,154.4656,0.020623782,8.785,Low Fat,Drinks,Soft Drinks
DRB25,9969.0234,1661.5039,6,106.8938,0.07730474816666667,12.3,Low Fat,Drinks,Soft Drinks
DRB48,4360.3242,622.9034571428572,7,39.25362857142857,0.027650095000000003,16.75,Regular,Drinks,Soft Drinks
DRC01,5173.2660000000005,862.2110000000001,6,48.9692,0.019219470166666665,5.92,Regular,Drinks,Soft Drinks
DRC12,8949.6836,2237.4209,4,190.2188,0.03789327825,17.85,Low Fat,Drinks,Soft Drinks
DRC13,6528.169,1632.04225,4,124.298,0.03254474533333333,8.26,Regular,Drinks,Soft Drinks
DRC24,6305.7918,3152.8959,2,153.34980000000002,0.024942033500000002,17.85,Low Fat,Drinks,Soft Drinks
DRC25,7901.7144,1128.816342857143,7,86.23105714285714,0.05618499183333333,5.73,Low Fat,Drinks,Soft Drinks
DRC27,16460.5734,2743.4289000000003,6,245.89686666666668,0.06475441333333333,13.8,Low Fat,Drinks,Dairy
DRC36,15059.064400000001,3011.8128800000004,5,174.5254,0.044991899749999995,13.0,Regular,Drinks,Soft Drinks
DRC49,8484.9552,2828.3184,3,144.8128,0.06532683,8.67,Low Fat,Drinks,Soft Drinks
DRD01,4255.1278,851.02556,5,55.7414,0.0613361044,12.1,Regular,Drinks,Soft Drinks
DRD12,11036.9666,1576.7095142857142,7,91.40031428571429,0.07733169583333334,6.96,Low Fat,Drinks,Soft Drinks
DRD13,8628.768,1232.681142857143,7,64.45965714285714,0.04913169057142857,15.0,Low Fat,Drinks,Soft Drinks
DRD15,17659.6792,2522.811314285714,7,232.8642,0.06837602242857142,10.6,Low Fat,Drinks,Dairy
DRD24,13756.0938,1965.1562571428572,7,142.04397142857144,0.03378398957142857,13.85,Low Fat,Drinks,Soft Drinks
DRD25,13921.878,1740.23475,8,113.086,0.09507435042857143,6.135,Low Fat,Drinks,Soft Drinks
DRD27,6349.0688,1269.81376,5,98.0442,0.028353114999999995,18.75,Low Fat,Drinks,Dairy
DRD37,6245.204,892.1719999999999,7,46.00600000000001,0.015198772285714287,9.8,Low Fat,Drinks,Soft Drinks
DRD49,14539.740399999999,3634.9350999999997,4,237.8814,0.168145552,9.895,Low Fat,Drinks,Soft Drinks
DRD60,15631.652399999999,2605.2754,6,181.84673333333333,0.04192011666666667,15.7,Low Fat,Drinks,Soft Drinks
DRE01,5816.4288,2908.2144,2,241.8012,0.223469365,10.1,Low Fat,Drinks,Soft Drinks
DRE03,4538.0928,648.2989714285715,7,46.68608571428571,0.026604318,19.6,Low Fat,Drinks,Dairy
DRE12,9281.252,1546.8753333333334,6,112.60266666666666,0.070719558,4.59,Low Fat,Drinks,Soft Drinks
DRE13,7762.5622,1552.51244,5,86.4798,0.0276924628,6.28,Low Fat,Drinks,Soft Drinks
DRE15,6907.0092,1151.1682,6,75.81786666666666,0.021129629,13.35,Low Fat,Drinks,Dairy
DRE25,7363.748,1472.7495999999999,5,92.432,0.0733151374,15.35,Low Fat,Drinks,Soft Drinks
DRE27,5970.2286,995.0381000000001,6,97.75593333333332,0.147626014,11.85,Low Fat,Drinks,Dairy
DRE37,9454.36,1890.872,5,189.3472,0.11203885524999999,13.5,Low Fat,Drinks,Soft Drinks
DRE48,24437.5232,3491.0747428571426,7,196.79108571428574,0.017326416833333334,8.43,Low Fat,Drinks,Soft Drinks
DRE49,24136.5816,2681.8424,9,152.46906666666666,0.02333333857142857,20.75,Low Fat,Drinks,Soft Drinks
DRE60,24448.176,4074.696,6,225.87199999999999,0.17949263000000001,9.395,Low Fat,Drinks,Soft Drinks
DRF01,13122.918,1640.36475,8,146.4602,0.19399617185714285,5.655,Low Fat,Drinks,Soft Drinks
DRF03,4386.2904,548.2863,8,40.2013,0.049134331625,19.1,Low Fat,Drinks,Dairy
DRF13,16111.0284,2685.1713999999997,6,145.26106666666666,0.029860657,12.1,Low Fat,Drinks,Soft Drinks
DRF15,3828.35,957.0875,4,153.48399999999998,0.04157222966666667,18.35,Low Fat,Drinks,Dairy
DRF23,21107.1916,2638.39895,8,173.7021,0.13460348642857142,4.61,Low Fat,Drinks,Hard Drinks
DRF25,5492.85,784.6928571428572,7,35.99042857142857,0.043087972714285716,9.0,Low Fat,Drinks,Soft Drinks
DRF27,17457.275999999998,2182.1594999999998,8,152.57150000000001,0.031103740875,8.93,Low Fat,Drinks,Dairy
DRF36,26942.9286,4490.4881,6,190.78459999999998,0.026236066166666665,16.1,Low Fat,Drinks,Soft Drinks
DRF37,18409.37,3068.228333333333,6,262.37433333333337,0.08451624499999999,17.25,Low Fat,Drinks,Soft Drinks
DRF48,1496.7184,1496.7184,1,188.1898,0.05190652,5.73,Low Fat,Drinks,Soft Drinks
DRF49,8083.4778,1347.2463,6,113.01846666666667,0.08006145766666667,7.27,Low Fat,Drinks,Soft Drinks
DRF51,1935.4806,645.1602,3,37.38393333333334,0.16617551733333333,15.75,Low Fat,Drinks,Dairy
DRF60,18591.7992,4647.9498,4,238.75639999999999,0.05222907933333333,10.8,Low Fat,Drinks,Soft Drinks
DRG01,6125.36,1225.072,5,76.707,0.0515652074,14.8,Low Fat,Drinks,Soft Drinks
DRG03,13841.982,2768.3964,5,154.2198,0.07031997300000001,14.5,Low Fat,Drinks,Dairy
DRG11,7658.0316,1531.60632,5,109.0596,0.09807119,6.385,Low Fat,Drinks,Hard Drinks
DRG13,18912.049,3782.4098,5,164.6326,0.0372149052,17.25,Low Fat,Drinks,Soft Drinks
DRG15,7840.4608,1306.7434666666666,6,61.003600000000006,0.0768747964,6.13,Low Fat,Drinks,Dairy
DRG23,12349.9242,1764.2748857142856,7,152.73962857142857,0.08674821216666666,8.88,Low Fat,Drinks,Hard Drinks
DRG25,9134.776,4567.388,2,187.024,0.0190399635,10.5,Low Fat,Drinks,Soft Drinks
DRG27,2599.2832,519.85664,5,40.8738,0.12493597875,8.895,Low Fat,Drinks,Dairy
DRG36,17966.613,3593.3226000000004,5,171.5906,0.0953050506,14.15,Low Fat,Drinks,Soft Drinks
DRG37,11528.9928,1646.9989714285714,7,155.15434285714286,0.021475471857142856,16.2,Low Fat,Drinks,Soft Drinks
DRG39,2945.4992,981.8330666666667,3,52.69820000000001,0.042260130666666666,14.15,Low Fat,Drinks,Dairy
DRG48,12539.6772,2507.93544,5,145.99020000000002,0.014563256799999999,5.78,Low Fat,Drinks,Soft Drinks
DRG49,18570.4936,3714.0987200000004,5,244.24859999999998,0.0766388016,7.81,Low Fat,Drinks,Soft Drinks
DRG51,10196.0612,2039.21224,5,164.9126,0.013116012799999998,12.1,Low Fat,Drinks,Dairy
DRH01,12859.2612,2571.85224,5,173.1138,0.1126623328,17.5,Low Fat,Drinks,Soft Drinks
DRH03,4474.176,745.696,6,92.39533333333333,0.04342192833333333,17.25,Low Fat,Drinks,Dairy
DRH11,3757.7752000000005,939.4438000000001,4,55.1114,0.07551844925000001,5.98,Low Fat,Drinks,Hard Drinks
DRH13,4048.064,809.6128,5,106.708,0.0274981838,8.575,Low Fat,Drinks,Soft Drinks
