Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content,Broad_Category,Item_Type,Cluster,Cluster_Label
DRA12,11061.6012,1843.6002,6,141.8654,0.0479342654999999,11.6,Low Fat,Drinks,Soft Drinks,3,Drinks
DRA24,15723.5328,2246.2189714285714,7,164.0868,0.0480622641428571,19.35,Regular,Drinks,Soft Drinks,3,Drinks
DRA59,20915.4412,2614.43015,8,185.1799,0.1539634484285714,8.27,Regular,Drinks,Soft Drinks,3,Drinks
DRB01,4554.072,1518.024,3,189.58633333333333,0.0821264423333333,7.39,Low Fat,Drinks,Soft Drinks,3,Drinks
DRB13,12144.192,2428.8384,5,189.693,0.0080023486,6.115,Regular,Drinks,Soft Drinks,3,Drinks
DRB24,12202.7824,3050.6956,4,154.4656,0.020623782,8.785,Low Fat,Drinks,Soft Drinks,3,Drinks
DRB25,9969.0234,1661.5039,6,106.8938,0.0773047481666666,12.3,Low Fat,Drinks,Soft Drinks,3,Drinks
DRB48,4360.3242,622.9034571428572,7,39.25362857142857,0.027650095,16.75,Regular,Drinks,Soft Drinks,3,Drinks
DRC01,5173.2660000000005,862.2110000000001,6,48.9692,0.0192194701666666,5.92,Regular,Drinks,Soft Drinks,3,Drinks
DRC12,8949.6836,2237.4209,4,190.2188,0.03789327825,17.85,Low Fat,Drinks,Soft Drinks,3,Drinks
DRC13,6528.169,1632.04225,4,124.298,0.0325447453333333,8.26,Regular,Drinks,Soft Drinks,3,Drinks
DRC24,6305.7918,3152.8959,2,153.34980000000002,0.0249420335,17.85,Low Fat,Drinks,Soft Drinks,3,Drinks
DRC25,7901.7144,1128.816342857143,7,86.23105714285714,0.0561849918333333,5.73,Low Fat,Drinks,Soft Drinks,3,Drinks
DRC27,16460.5734,2743.4289000000003,6,245.89686666666668,0.0647544133333333,13.8,Low Fat,Drinks,Dairy,3,Drinks
DRC36,15059.0644,3011.8128800000004,5,174.5254,0.0449918997499999,13.0,Regular,Drinks,Soft Drinks,3,Drinks
DRC49,8484.9552,2828.3184,3,144.8128,0.06532683,8.67,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD01,4255.1278,851.02556,5,55.7414,0.0613361044,12.1,Regular,Drinks,Soft Drinks,3,Drinks
DRD12,11036.9666,1576.7095142857142,7,91.40031428571427,0.0773316958333333,6.96,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD13,8628.768,1232.681142857143,7,64.45965714285714,0.0491316905714285,15.0,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD15,17659.6792,2522.811314285714,7,232.8642,0.0683760224285714,10.6,Low Fat,Drinks,Dairy,3,Drinks
DRD24,13756.0938,1965.1562571428567,7,142.04397142857144,0.0337839895714285,13.85,Low Fat,Drinks,Soft Drinks,3,Drinks
DRD25,13921.878,1740.23475,8,113.086,0.0950743504285714,6.135,Low Fat,Drinks,Soft Drinks,3,Drinks
