Item_Identifier,Total_Sales,Avg_Sales,Store_Count,Avg_MRP,Avg_Visibility,Item_Weight,Item_Fat_Content_Low Fat,Item_Fat_Content_NA,Item_Fat_Content_Regular,Item_Type_Baking Goods,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Item_Category_Broad_Drink,Item_Category_Broad_Food,Item_Category_Broad_Non-Consumable
DRA12,-0.12272077736580256,-0.30800066815395605,0.348838464535604,0.013768918542303119,-0.472216032537548,-0.26016568748283053,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRA24,0.539886634771149,0.047767020458233965,1.0032778943924114,0.37170095745854476,-0.46949823878440294,1.4083872492916416,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRA59,1.2778204536577455,0.3731309856224063,1.657717324249219,0.7114588615538838,1.7791004234967398,-0.977105207413023,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRB01,-1.0476457768268945,-0.595690911035961,-1.6144798250348182,0.7824356527258391,0.25378607599869296,-1.16656670216935,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRB13,0.03114949571827076,0.20913578070756156,-0.3056009653212034,0.7841537900837192,-1.3200899777562534,-1.441070572412892,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRB24,0.039477038173005505,0.758630027848242,-0.9600403951780108,0.2167271154494478,-1.0520992234438018,-0.866227173549945,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRB25,-0.2780105179137515,-0.4689071741421532,0.348838464535604,-0.5495374479406019,0.1514070976499307,-0.109457680290297,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRB48,-1.0751834456260736,-1.3866499749455572,1.0032778943924114,-1.639054061298566,-0.902909598047895,0.8486146511479475,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC01,-0.9596387940666309,-1.1751896620355002,0.348838464535604,-1.482560127943109,-1.0819169609049764,-1.4830535172736694,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC12,-0.422890830393282,0.03999274424830548,-0.9600403951780108,0.7926231334222199,-0.6854162025886936,1.0854415195933569,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC13,-0.7670643748008932,-0.4949404936667518,-0.9600403951780108,-0.26919863977792763,-0.7989815422277301,-0.9792581789443449,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC24,-0.7986711836631813,0.848937701227358,-2.2689192548916255,0.19875432485017258,-0.9604098376093942,1.0854415195933569,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC25,-0.5718402829359216,-0.9396080813173411,1.0032778943924114,-0.8823633581199402,-0.2970284525202412,-1.5239599763687854,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC27,0.6446433336051401,0.48711868410581843,0.348838464535604,1.6894596929960732,-0.11507402159115654,0.21348804940798788,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DRC36,0.4454447328413179,0.7242719293118229,-0.3056009653212034,0.5398411008082469,-0.5346912516204789,0.04125032690223541,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRC49,-0.4889433830456088,0.5621299437529668,-1.6144798250348182,0.061244275248079336,-0.10291990490572359,-0.8909863461601469,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD01,-1.0901351695788926,-1.1850734986007718,-0.3056009653212034,-1.373476660927144,-0.18765493696618765,-0.1525171109167356,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD12,-0.1262221304433616,-0.5438343875600051,1.0032778943924114,-0.7990993536546407,0.15197927715506998,-1.2591444780161918,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
DRD13,-0.4685030515658057,-0.8478295989255358,1.0032778943924114,-1.2330470050576243,-0.4467911193795239,0.47184463316661523,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
